Epoch,TestBPD,ValidBPD
1,5.348062833963118,4.731634112835526
2,4.535290552619491,4.433965646412393
3,4.311121106543095,4.304934378465444
4,4.183257661944892,4.20591690360953
5,4.099166431414914,4.0931602163276075
6,4.031617182723414,4.036511263718269
7,3.9816965455726954,4.010818431540573
8,3.93120914023303,3.9970345953494215
9,3.898144688306298,3.931193445223707
10,3.86925410499043,3.9062643994640025
11,3.8436056163098535,3.900688538474869
12,3.8103676631891488,3.9286600719834373
13,3.78930240769053,3.8728848141715027
14,3.7709264716563093,3.8693536663839874
15,3.752702145335526,3.854882725106109
16,3.722580772637567,3.8358058591279236
17,3.708802134144309,3.837631260053161
18,3.6904482526556577,3.8073651569478013
19,3.67661251082653,3.84354709634652
20,3.6643577150566498,3.843037385631403
21,3.652410398787601,3.832986169170498
22,3.642033842109085,3.826439546375814
23,3.625815526523748,3.8526706154576513
24,3.6113209561035866,3.809263707827206
25,3.612496863910868,3.801870150735594
26,3.5834547575098616,3.841620156864213
27,3.582848333943464,3.810921391271322
28,3.5702701496405744,3.810855992001954
29,3.564716129174155,3.824994616936325
30,3.5535604171983888,3.806658285321735
31,3.539731192874757,3.8258554015694037
32,3.5346875455751467,3.8226867014858272
33,3.5174083900414645,3.8242665570476726
34,3.517162314716719,3.8175802384784485
35,3.5062262207642676,3.8203365470962765
36,3.4990063992726115,3.819443475586876
37,3.492201496754699,3.836442194936116
38,3.485122023297712,3.8267790630596377
39,3.4816544555853017,3.836155878218959
40,3.479635353785261,3.8530912620906417
41,3.4601524354944435,3.835519634134848
42,3.4574876777004793,3.8404677813793513
43,3.447747278477777,3.8462474532752675
44,3.4433559422637066,3.864191022377327
45,3.436486710590698,3.8825945418808545
46,3.4325875606965948,3.871984267149545
47,3.43216907977106,3.8670436412796385
48,3.4223114011199254,3.9009928331117956
49,3.415039434488528,3.8909209328707473
50,3.4202320977484093,3.8915315400743697
51,3.397553497207012,3.9123354787635396
52,3.4002707670370405,3.888045382948321
53,3.396366643659462,3.911939735218395
54,3.393050186273829,3.915592876032922
55,3.387470365861889,3.9124072069944598
56,3.376677223888835,3.9414785122277456
57,3.375925162865796,3.9520492538803773
58,3.364182304667875,3.958197794165864
59,3.364811465614662,3.9544944802793247
60,3.3594862457711687,3.970206402503789
61,3.353861439793546,3.951761102681612
62,3.350368194434389,3.975196375928983
63,3.3441394465363232,3.9952486816408217
64,3.3476673126400707,3.984375800867154
65,3.3459864026204684,4.018910329918769
66,3.3314867313222774,4.0032290435371785
67,3.330403831732582,4.008275289685734
68,3.321577860442682,4.0387262626752625
69,3.3209193172154534,4.043901151846663
70,3.3161874961189324,4.053941453141994
71,3.314387028856233,4.052446671664775
72,3.31615622839906,4.064843639759368
73,3.3090736668980303,4.070816322051592
74,3.303397072485423,4.075082110930533
75,3.3101585079807623,4.105886955422476
